credit_request_id,account_id,interaction_id,requested_at_utc,requested_increase,tenure_months_at_request,policy_version_applied,decision,new_limit,income_verified,obligations_checked,available_at
CRQ-0040016,ACC-00840,INT-0040016,2026-10-17T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,3300,true,true,2026-10-17T17:02:00Z
CRQ-0040017,ACC-00650,INT-0040017,2026-10-18T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,4000,true,true,2026-10-18T17:02:00Z
CRQ-0040018,ACC-00904,INT-0040018,2026-10-19T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,3300,true,true,2026-10-19T17:02:00Z
CRQ-0040019,ACC-00781,INT-0040019,2026-10-20T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,4200,true,true,2026-10-20T17:02:00Z
CRQ-0040020,ACC-00168,INT-0040020,2026-10-21T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,20300,true,true,2026-10-21T17:02:00Z
CRQ-0040021,ACC-00244,INT-0040021,2026-10-22T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,19500,true,true,2026-10-22T17:02:00Z
CRQ-0040022,ACC-00097,INT-0040022,2026-10-23T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,7200,true,true,2026-10-23T17:02:00Z
CRQ-0040023,ACC-00410,INT-0040023,2026-10-24T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,5100,true,true,2026-10-24T17:02:00Z
CRQ-0040024,ACC-01120,INT-0040024,2026-10-25T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,28600,true,true,2026-10-25T17:02:00Z
CRQ-0040025,ACC-00421,INT-0040025,2026-10-26T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,11600,true,true,2026-10-26T17:02:00Z
CRQ-0040026,ACC-00764,INT-0040026,2026-10-27T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,11300,true,true,2026-10-27T17:02:00Z
CRQ-0040027,ACC-00761,INT-0040027,2026-10-28T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,6600,true,true,2026-10-28T17:02:00Z
CRQ-0040028,ACC-00046,INT-0040028,2026-10-29T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,7700,true,true,2026-10-29T17:02:00Z
CRQ-0040029,ACC-00191,INT-0040029,2026-10-30T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,10400,true,true,2026-10-30T17:02:00Z
CRQ-0040030,ACC-00842,INT-0040030,2026-10-31T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,3300,true,true,2026-10-31T17:02:00Z
CRQ-0040031,ACC-00115,INT-0040031,2026-11-01T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,3400,true,true,2026-11-01T17:02:00Z
CRQ-0040032,ACC-00801,INT-0040032,2026-11-02T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,37100,true,true,2026-11-02T17:02:00Z
CRQ-0040033,ACC-00840,INT-0040033,2026-11-03T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,3300,true,true,2026-11-03T17:02:00Z
CRQ-0040034,ACC-01076,INT-0040034,2026-11-04T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,7800,true,true,2026-11-04T17:02:00Z
CRQ-0040035,ACC-00418,INT-0040035,2026-11-05T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,7100,true,true,2026-11-05T17:02:00Z
CRQ-0040036,ACC-00019,INT-0040036,2026-11-06T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,11500,true,true,2026-11-06T17:02:00Z
CRQ-0040037,ACC-00089,INT-0040037,2026-11-07T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,3300,true,true,2026-11-07T17:02:00Z
CRQ-0040038,ACC-00277,INT-0040038,2026-11-08T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,4500,true,true,2026-11-08T17:02:00Z
CRQ-0040039,ACC-00867,INT-0040039,2026-11-09T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,9500,true,true,2026-11-09T17:02:00Z
CRQ-0040040,ACC-01065,INT-0040040,2026-11-10T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,12000,true,true,2026-11-10T17:02:00Z
CRQ-0040041,ACC-01103,INT-0040041,2026-11-11T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,9900,true,true,2026-11-11T17:02:00Z
CRQ-0040042,ACC-00480,INT-0040042,2026-10-01T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,9200,true,true,2026-10-01T17:02:00Z
CRQ-0040043,ACC-00615,INT-0040043,2026-10-02T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,4200,true,true,2026-10-02T17:02:00Z
CRQ-0040044,ACC-01071,INT-0040044,2026-10-03T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,7700,true,true,2026-10-03T17:02:00Z
CRQ-0040045,ACC-00005,INT-0040045,2026-10-04T17:01:00Z,3000,8,CLB-POL-CLI@v6,approved,10000,true,true,2026-10-04T17:02:00Z
CRQ-9000301,ACC-90003,INT-9000302,2026-11-09T17:31:35Z,2000,72,CLB-POL-CLI@v6,approved,12000,true,true,2026-11-09T17:32:35Z
CRQ-9000401,ACC-90004,INT-9000401,2026-11-10T18:10:45Z,1500,74,CLB-POL-CLI@v6,approved,11500,true,true,2026-11-10T18:11:45Z
CRQ-9000501,ACC-90005,INT-9000501,2026-10-22T16:21:20Z,3000,8,CLB-POL-CLI@v6,approved,13000,true,true,2026-10-22T16:22:20Z
