statement_id,account_id,period_start,period_end,ending_balance,transmitted_at,available_at
STM-00012-202607,ACC-00012,2026-06-09,2026-07-08,1752.11,2026-07-09T04:00:00Z,2026-07-09T04:00:00Z
STM-00012-202608,ACC-00012,2026-07-09,2026-08-08,2628.26,2026-08-09T04:00:00Z,2026-08-09T04:00:00Z
STM-00012-202609,ACC-00012,2026-08-09,2026-09-08,2469.27,2026-09-09T04:00:00Z,2026-09-09T04:00:00Z
STM-00012-202610,ACC-00012,2026-09-09,2026-10-08,2784.88,2026-10-09T04:00:00Z,2026-10-09T04:00:00Z
STM-00012-202611,ACC-00012,2026-10-09,2026-11-08,2349.25,2026-11-09T05:00:00Z,2026-11-09T05:00:00Z
STM-00013-202607,ACC-00013,2026-06-04,2026-07-03,2383.89,2026-07-04T04:00:00Z,2026-07-04T04:00:00Z
STM-00013-202608,ACC-00013,2026-07-04,2026-08-03,2544.65,2026-08-04T04:00:00Z,2026-08-04T04:00:00Z
STM-00013-202609,ACC-00013,2026-08-04,2026-09-03,2886.56,2026-09-04T04:00:00Z,2026-09-04T04:00:00Z
STM-00013-202610,ACC-00013,2026-09-04,2026-10-03,2540.66,2026-10-04T04:00:00Z,2026-10-04T04:00:00Z
STM-00013-202611,ACC-00013,2026-10-04,2026-11-03,2090.26,2026-11-04T05:00:00Z,2026-11-04T05:00:00Z
STM-00014-202607,ACC-00014,2026-06-04,2026-07-03,8678.30,2026-07-04T04:00:00Z,2026-07-04T04:00:00Z
STM-00014-202608,ACC-00014,2026-07-04,2026-08-03,9988.85,2026-08-04T04:00:00Z,2026-08-04T04:00:00Z
STM-00014-202609,ACC-00014,2026-08-04,2026-09-03,4456.59,2026-09-04T04:00:00Z,2026-09-04T04:00:00Z
STM-00014-202610,ACC-00014,2026-09-04,2026-10-03,11092.10,2026-10-04T04:00:00Z,2026-10-04T04:00:00Z
STM-00014-202611,ACC-00014,2026-10-04,2026-11-03,8085.87,2026-11-04T05:00:00Z,2026-11-04T05:00:00Z
STM-00015-202607,ACC-00015,2026-06-21,2026-07-20,338.16,2026-07-21T04:00:00Z,2026-07-21T04:00:00Z
STM-00015-202608,ACC-00015,2026-07-21,2026-08-20,404.62,2026-08-21T04:00:00Z,2026-08-21T04:00:00Z
STM-00015-202609,ACC-00015,2026-08-21,2026-09-20,415.76,2026-09-21T04:00:00Z,2026-09-21T04:00:00Z
STM-00015-202610,ACC-00015,2026-09-21,2026-10-20,257.36,2026-10-21T04:00:00Z,2026-10-21T04:00:00Z
STM-00016-202607,ACC-00016,2026-06-26,2026-07-25,5544.15,2026-07-26T04:00:00Z,2026-07-26T04:00:00Z
STM-00016-202608,ACC-00016,2026-07-26,2026-08-25,3605.67,2026-08-26T04:00:00Z,2026-08-26T04:00:00Z
STM-00016-202609,ACC-00016,2026-08-26,2026-09-25,5057.34,2026-09-26T04:00:00Z,2026-09-26T04:00:00Z
STM-00016-202610,ACC-00016,2026-09-26,2026-10-25,3264.73,2026-10-26T04:00:00Z,2026-10-26T04:00:00Z
STM-00017-202607,ACC-00017,2026-06-09,2026-07-08,1506.25,2026-07-09T04:00:00Z,2026-07-09T04:00:00Z
STM-00017-202608,ACC-00017,2026-07-09,2026-08-08,1638.53,2026-08-09T04:00:00Z,2026-08-09T04:00:00Z
STM-00017-202609,ACC-00017,2026-08-09,2026-09-08,1339.03,2026-09-09T04:00:00Z,2026-09-09T04:00:00Z
STM-00017-202610,ACC-00017,2026-09-09,2026-10-08,2015.34,2026-10-09T04:00:00Z,2026-10-09T04:00:00Z
STM-00017-202611,ACC-00017,2026-10-09,2026-11-08,1933.83,2026-11-09T05:00:00Z,2026-11-09T05:00:00Z
STM-00018-202609,ACC-00018,2026-08-04,2026-09-03,2754.05,2026-09-04T04:00:00Z,2026-09-04T04:00:00Z
STM-00018-202610,ACC-00018,2026-09-04,2026-10-03,2359.38,2026-10-04T04:00:00Z,2026-10-04T04:00:00Z
STM-00018-202611,ACC-00018,2026-10-04,2026-11-03,1975.44,2026-11-04T05:00:00Z,2026-11-04T05:00:00Z
STM-00019-202607,ACC-00019,2026-06-26,2026-07-25,3407.50,2026-07-26T04:00:00Z,2026-07-26T04:00:00Z
STM-00019-202608,ACC-00019,2026-07-26,2026-08-25,2563.38,2026-08-26T04:00:00Z,2026-08-26T04:00:00Z
STM-00019-202609,ACC-00019,2026-08-26,2026-09-25,1801.74,2026-09-26T04:00:00Z,2026-09-26T04:00:00Z
STM-00019-202610,ACC-00019,2026-09-26,2026-10-25,1728.79,2026-10-26T04:00:00Z,2026-10-26T04:00:00Z
STM-00020-202607,ACC-00020,2026-06-09,2026-07-08,2049.66,2026-07-09T04:00:00Z,2026-07-09T04:00:00Z
STM-00020-202608,ACC-00020,2026-07-09,2026-08-08,2496.69,2026-08-09T04:00:00Z,2026-08-09T04:00:00Z
STM-00020-202609,ACC-00020,2026-08-09,2026-09-08,2703.56,2026-09-09T04:00:00Z,2026-09-09T04:00:00Z
STM-00020-202610,ACC-00020,2026-09-09,2026-10-08,2427.20,2026-10-09T04:00:00Z,2026-10-09T04:00:00Z
STM-00020-202611,ACC-00020,2026-10-09,2026-11-08,1946.49,2026-11-09T05:00:00Z,2026-11-09T05:00:00Z
STM-00021-202607,ACC-00021,2026-06-21,2026-07-20,4029.69,2026-07-21T04:00:00Z,2026-07-21T04:00:00Z
STM-00021-202608,ACC-00021,2026-07-21,2026-08-20,10734.09,2026-08-21T04:00:00Z,2026-08-21T04:00:00Z
STM-00021-202609,ACC-00021,2026-08-21,2026-09-20,9539.33,2026-09-21T04:00:00Z,2026-09-21T04:00:00Z
STM-00021-202610,ACC-00021,2026-09-21,2026-10-20,5726.39,2026-10-21T04:00:00Z,2026-10-21T04:00:00Z
STM-00022-202607,ACC-00022,2026-06-26,2026-07-25,1657.66,2026-07-26T04:00:00Z,2026-07-26T04:00:00Z
STM-00022-202608,ACC-00022,2026-07-26,2026-08-25,1083.07,2026-08-26T04:00:00Z,2026-08-26T04:00:00Z
STM-00022-202609,ACC-00022,2026-08-26,2026-09-25,2016.70,2026-09-26T04:00:00Z,2026-09-26T04:00:00Z
STM-00022-202610,ACC-00022,2026-09-26,2026-10-25,1919.19,2026-10-26T04:00:00Z,2026-10-26T04:00:00Z
STM-00023-202607,ACC-00023,2026-06-18,2026-07-17,1413.67,2026-07-18T04:00:00Z,2026-07-18T04:00:00Z
STM-00023-202608,ACC-00023,2026-07-18,2026-08-17,1396.12,2026-08-18T04:00:00Z,2026-08-18T04:00:00Z
STM-00023-202609,ACC-00023,2026-08-18,2026-09-17,901.12,2026-09-18T04:00:00Z,2026-09-18T04:00:00Z
STM-00023-202610,ACC-00023,2026-09-18,2026-10-17,1317.40,2026-10-18T04:00:00Z,2026-10-18T04:00:00Z
STM-00024-202607,ACC-00024,2026-06-13,2026-07-12,1072.71,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00024-202608,ACC-00024,2026-07-13,2026-08-12,1447.47,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00024-202609,ACC-00024,2026-08-13,2026-09-12,1498.49,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00024-202610,ACC-00024,2026-09-13,2026-10-12,1582.72,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00024-202611,ACC-00024,2026-10-13,2026-11-12,1025.06,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00025-202608,ACC-00025,2026-07-26,2026-08-25,201.12,2026-08-26T04:00:00Z,2026-08-26T04:00:00Z
STM-00025-202609,ACC-00025,2026-08-26,2026-09-25,1247.69,2026-09-26T04:00:00Z,2026-09-26T04:00:00Z
STM-00025-202610,ACC-00025,2026-09-26,2026-10-25,1843.90,2026-10-26T04:00:00Z,2026-10-26T04:00:00Z
STM-00026-202607,ACC-00026,2026-06-18,2026-07-17,403.00,2026-07-18T04:00:00Z,2026-07-18T04:00:00Z
STM-00026-202608,ACC-00026,2026-07-18,2026-08-17,876.87,2026-08-18T04:00:00Z,2026-08-18T04:00:00Z
STM-00026-202609,ACC-00026,2026-08-18,2026-09-17,924.48,2026-09-18T04:00:00Z,2026-09-18T04:00:00Z
STM-00026-202610,ACC-00026,2026-09-18,2026-10-17,843.68,2026-10-18T04:00:00Z,2026-10-18T04:00:00Z
STM-00027-202607,ACC-00027,2026-06-09,2026-07-08,596.29,2026-07-09T04:00:00Z,2026-07-09T04:00:00Z
STM-00027-202608,ACC-00027,2026-07-09,2026-08-08,462.03,2026-08-09T04:00:00Z,2026-08-09T04:00:00Z
STM-00027-202609,ACC-00027,2026-08-09,2026-09-08,523.89,2026-09-09T04:00:00Z,2026-09-09T04:00:00Z
STM-00027-202610,ACC-00027,2026-09-09,2026-10-08,298.78,2026-10-09T04:00:00Z,2026-10-09T04:00:00Z
STM-00027-202611,ACC-00027,2026-10-09,2026-11-08,675.26,2026-11-09T05:00:00Z,2026-11-09T05:00:00Z
STM-00028-202607,ACC-00028,2026-06-13,2026-07-12,5107.16,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00028-202608,ACC-00028,2026-07-13,2026-08-12,12062.98,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00028-202609,ACC-00028,2026-08-13,2026-09-12,12232.77,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00028-202610,ACC-00028,2026-09-13,2026-10-12,8812.87,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00028-202611,ACC-00028,2026-10-13,2026-11-12,8765.30,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00029-202607,ACC-00029,2026-06-09,2026-07-08,2404.75,2026-07-09T04:00:00Z,2026-07-09T04:00:00Z
STM-00029-202608,ACC-00029,2026-07-09,2026-08-08,2845.60,2026-08-09T04:00:00Z,2026-08-09T04:00:00Z
STM-00029-202609,ACC-00029,2026-08-09,2026-09-08,2037.10,2026-09-09T04:00:00Z,2026-09-09T04:00:00Z
STM-00029-202610,ACC-00029,2026-09-09,2026-10-08,3106.77,2026-10-09T04:00:00Z,2026-10-09T04:00:00Z
STM-00029-202611,ACC-00029,2026-10-09,2026-11-08,2776.10,2026-11-09T05:00:00Z,2026-11-09T05:00:00Z
STM-00030-202607,ACC-00030,2026-06-04,2026-07-03,284.46,2026-07-04T04:00:00Z,2026-07-04T04:00:00Z
STM-00030-202608,ACC-00030,2026-07-04,2026-08-03,586.08,2026-08-04T04:00:00Z,2026-08-04T04:00:00Z
STM-00030-202609,ACC-00030,2026-08-04,2026-09-03,0.00,2026-09-04T04:00:00Z,2026-09-04T04:00:00Z
STM-00030-202610,ACC-00030,2026-09-04,2026-10-03,593.84,2026-10-04T04:00:00Z,2026-10-04T04:00:00Z
STM-00030-202611,ACC-00030,2026-10-04,2026-11-03,549.90,2026-11-04T05:00:00Z,2026-11-04T05:00:00Z
STM-00031-202607,ACC-00031,2026-06-13,2026-07-12,2415.16,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00031-202608,ACC-00031,2026-07-13,2026-08-12,1683.84,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00031-202609,ACC-00031,2026-08-13,2026-09-12,1036.61,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00031-202610,ACC-00031,2026-09-13,2026-10-12,1282.86,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00031-202611,ACC-00031,2026-10-13,2026-11-12,1148.91,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00032-202607,ACC-00032,2026-06-21,2026-07-20,2378.14,2026-07-21T04:00:00Z,2026-07-21T04:00:00Z
STM-00032-202608,ACC-00032,2026-07-21,2026-08-20,1872.72,2026-08-21T04:00:00Z,2026-08-21T04:00:00Z
STM-00032-202609,ACC-00032,2026-08-21,2026-09-20,3196.98,2026-09-21T04:00:00Z,2026-09-21T04:00:00Z
STM-00032-202610,ACC-00032,2026-09-21,2026-10-20,2926.85,2026-10-21T04:00:00Z,2026-10-21T04:00:00Z
STM-00033-202607,ACC-00033,2026-06-13,2026-07-12,8875.59,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00033-202608,ACC-00033,2026-07-13,2026-08-12,7030.06,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00033-202609,ACC-00033,2026-08-13,2026-09-12,5178.89,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00033-202610,ACC-00033,2026-09-13,2026-10-12,6255.93,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00033-202611,ACC-00033,2026-10-13,2026-11-12,3968.87,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00034-202607,ACC-00034,2026-06-09,2026-07-08,7943.66,2026-07-09T04:00:00Z,2026-07-09T04:00:00Z
STM-00034-202608,ACC-00034,2026-07-09,2026-08-08,6041.61,2026-08-09T04:00:00Z,2026-08-09T04:00:00Z
STM-00034-202609,ACC-00034,2026-08-09,2026-09-08,4156.97,2026-09-09T04:00:00Z,2026-09-09T04:00:00Z
STM-00034-202610,ACC-00034,2026-09-09,2026-10-08,3527.86,2026-10-09T04:00:00Z,2026-10-09T04:00:00Z
STM-00034-202611,ACC-00034,2026-10-09,2026-11-08,5031.63,2026-11-09T05:00:00Z,2026-11-09T05:00:00Z
STM-00035-202607,ACC-00035,2026-06-21,2026-07-20,156.55,2026-07-21T04:00:00Z,2026-07-21T04:00:00Z
STM-00035-202608,ACC-00035,2026-07-21,2026-08-20,201.12,2026-08-21T04:00:00Z,2026-08-21T04:00:00Z
STM-00035-202609,ACC-00035,2026-08-21,2026-09-20,206.91,2026-09-21T04:00:00Z,2026-09-21T04:00:00Z
STM-00035-202610,ACC-00035,2026-09-21,2026-10-20,186.82,2026-10-21T04:00:00Z,2026-10-21T04:00:00Z
STM-00036-202608,ACC-00036,2026-07-26,2026-08-25,208.32,2026-08-26T04:00:00Z,2026-08-26T04:00:00Z
STM-00036-202609,ACC-00036,2026-08-26,2026-09-25,194.47,2026-09-26T04:00:00Z,2026-09-26T04:00:00Z
STM-00036-202610,ACC-00036,2026-09-26,2026-10-25,89.51,2026-10-26T04:00:00Z,2026-10-26T04:00:00Z
STM-00037-202607,ACC-00037,2026-06-13,2026-07-12,4607.42,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00037-202608,ACC-00037,2026-07-13,2026-08-12,4140.54,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00037-202609,ACC-00037,2026-08-13,2026-09-12,2661.75,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00037-202610,ACC-00037,2026-09-13,2026-10-12,3700.91,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00037-202611,ACC-00037,2026-10-13,2026-11-12,5150.31,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00038-202607,ACC-00038,2026-06-04,2026-07-03,942.60,2026-07-04T04:00:00Z,2026-07-04T04:00:00Z
STM-00038-202608,ACC-00038,2026-07-04,2026-08-03,1266.50,2026-08-04T04:00:00Z,2026-08-04T04:00:00Z
STM-00038-202609,ACC-00038,2026-08-04,2026-09-03,630.26,2026-09-04T04:00:00Z,2026-09-04T04:00:00Z
STM-00038-202610,ACC-00038,2026-09-04,2026-10-03,595.67,2026-10-04T04:00:00Z,2026-10-04T04:00:00Z
STM-00038-202611,ACC-00038,2026-10-04,2026-11-03,704.61,2026-11-04T05:00:00Z,2026-11-04T05:00:00Z
STM-00039-202607,ACC-00039,2026-06-13,2026-07-12,138.52,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00039-202608,ACC-00039,2026-07-13,2026-08-12,89.99,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00039-202609,ACC-00039,2026-08-13,2026-09-12,144.25,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00039-202610,ACC-00039,2026-09-13,2026-10-12,109.91,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00039-202611,ACC-00039,2026-10-13,2026-11-12,34.33,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00040-202607,ACC-00040,2026-06-21,2026-07-20,2356.90,2026-07-21T04:00:00Z,2026-07-21T04:00:00Z
STM-00040-202608,ACC-00040,2026-07-21,2026-08-20,2359.02,2026-08-21T04:00:00Z,2026-08-21T04:00:00Z
STM-00040-202609,ACC-00040,2026-08-21,2026-09-20,2221.89,2026-09-21T04:00:00Z,2026-09-21T04:00:00Z
STM-00040-202610,ACC-00040,2026-09-21,2026-10-20,2236.66,2026-10-21T04:00:00Z,2026-10-21T04:00:00Z
STM-00041-202607,ACC-00041,2026-06-13,2026-07-12,0.00,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00041-202608,ACC-00041,2026-07-13,2026-08-12,63.62,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00041-202609,ACC-00041,2026-08-13,2026-09-12,0.00,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00041-202610,ACC-00041,2026-09-13,2026-10-12,65.89,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00041-202611,ACC-00041,2026-10-13,2026-11-12,54.06,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00042-202607,ACC-00042,2026-06-13,2026-07-12,131.21,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00042-202608,ACC-00042,2026-07-13,2026-08-12,187.96,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00042-202609,ACC-00042,2026-08-13,2026-09-12,209.48,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00042-202610,ACC-00042,2026-09-13,2026-10-12,155.22,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00042-202611,ACC-00042,2026-10-13,2026-11-12,192.04,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00043-202607,ACC-00043,2026-06-04,2026-07-03,3449.39,2026-07-04T04:00:00Z,2026-07-04T04:00:00Z
STM-00043-202608,ACC-00043,2026-07-04,2026-08-03,4254.29,2026-08-04T04:00:00Z,2026-08-04T04:00:00Z
STM-00043-202609,ACC-00043,2026-08-04,2026-09-03,3243.58,2026-09-04T04:00:00Z,2026-09-04T04:00:00Z
STM-00043-202610,ACC-00043,2026-09-04,2026-10-03,3310.96,2026-10-04T04:00:00Z,2026-10-04T04:00:00Z
STM-00043-202611,ACC-00043,2026-10-04,2026-11-03,3744.86,2026-11-04T05:00:00Z,2026-11-04T05:00:00Z
STM-00044-202607,ACC-00044,2026-06-13,2026-07-12,2112.86,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00044-202608,ACC-00044,2026-07-13,2026-08-12,2341.45,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00044-202609,ACC-00044,2026-08-13,2026-09-12,1854.39,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00044-202610,ACC-00044,2026-09-13,2026-10-12,2101.20,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00044-202611,ACC-00044,2026-10-13,2026-11-12,2324.70,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00045-202607,ACC-00045,2026-06-09,2026-07-08,1599.30,2026-07-09T04:00:00Z,2026-07-09T04:00:00Z
STM-00045-202608,ACC-00045,2026-07-09,2026-08-08,1452.04,2026-08-09T04:00:00Z,2026-08-09T04:00:00Z
STM-00045-202609,ACC-00045,2026-08-09,2026-09-08,1731.94,2026-09-09T04:00:00Z,2026-09-09T04:00:00Z
STM-00045-202610,ACC-00045,2026-09-09,2026-10-08,1300.15,2026-10-09T04:00:00Z,2026-10-09T04:00:00Z
STM-00045-202611,ACC-00045,2026-10-09,2026-11-08,1537.47,2026-11-09T05:00:00Z,2026-11-09T05:00:00Z
STM-00046-202607,ACC-00046,2026-06-21,2026-07-20,1828.50,2026-07-21T04:00:00Z,2026-07-21T04:00:00Z
STM-00046-202608,ACC-00046,2026-07-21,2026-08-20,1669.93,2026-08-21T04:00:00Z,2026-08-21T04:00:00Z
STM-00046-202609,ACC-00046,2026-08-21,2026-09-20,1488.35,2026-09-21T04:00:00Z,2026-09-21T04:00:00Z
STM-00046-202610,ACC-00046,2026-09-21,2026-10-20,1191.75,2026-10-21T04:00:00Z,2026-10-21T04:00:00Z
STM-00047-202607,ACC-00047,2026-06-09,2026-07-08,0.00,2026-07-09T04:00:00Z,2026-07-09T04:00:00Z
STM-00047-202608,ACC-00047,2026-07-09,2026-08-08,3732.07,2026-08-09T04:00:00Z,2026-08-09T04:00:00Z
STM-00047-202609,ACC-00047,2026-08-09,2026-09-08,4653.94,2026-09-09T04:00:00Z,2026-09-09T04:00:00Z
STM-00047-202610,ACC-00047,2026-09-09,2026-10-08,3722.76,2026-10-09T04:00:00Z,2026-10-09T04:00:00Z
STM-00047-202611,ACC-00047,2026-10-09,2026-11-08,4363.15,2026-11-09T05:00:00Z,2026-11-09T05:00:00Z
STM-00048-202607,ACC-00048,2026-06-13,2026-07-12,3340.09,2026-07-13T04:00:00Z,2026-07-13T04:00:00Z
STM-00048-202608,ACC-00048,2026-07-13,2026-08-12,3464.48,2026-08-13T04:00:00Z,2026-08-13T04:00:00Z
STM-00048-202609,ACC-00048,2026-08-13,2026-09-12,4698.03,2026-09-13T04:00:00Z,2026-09-13T04:00:00Z
STM-00048-202610,ACC-00048,2026-09-13,2026-10-12,3659.34,2026-10-13T04:00:00Z,2026-10-13T04:00:00Z
STM-00048-202611,ACC-00048,2026-10-13,2026-11-12,2803.91,2026-11-13T05:00:00Z,2026-11-13T05:00:00Z
STM-00049-202607,ACC-00049,2026-06-04,2026-07-03,5175.56,2026-07-04T04:00:00Z,2026-07-04T04:00:00Z
STM-00049-202608,ACC-00049,2026-07-04,2026-08-03,7510.15,2026-08-04T04:00:00Z,2026-08-04T04:00:00Z
