colleague_id,role,team_id,site,site_timezone,hire_date,languages,licensed_products,available_at
COL-4400,supervisor,T-TMP-3,TEMPE,America/Phoenix,2024-09-27,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2024-09-27T16:00:00Z
COL-4403,agent,T-TMP-3,TEMPE,America/Phoenix,2018-12-03,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2018-12-03T16:00:00Z
COL-4409,agent,T-TMP-3,TEMPE,America/Phoenix,2024-06-09,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2024-06-09T16:00:00Z
COL-4412,agent,T-TMP-3,TEMPE,America/Phoenix,2018-09-12,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2018-09-12T16:00:00Z
COL-4417,agent,T-TMP-3,TEMPE,America/Phoenix,2023-02-17,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2023-02-17T16:00:00Z
COL-4421,agent,T-TMP-3,TEMPE,America/Phoenix,2018-06-21,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2018-06-21T16:00:00Z
COL-4425,agent,T-TMP-3,TEMPE,America/Phoenix,2022-10-25,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2022-10-25T16:00:00Z
COL-4430,agent,T-TMP-3,TEMPE,America/Phoenix,2018-03-03,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2018-03-03T16:00:00Z
COL-4436,agent,T-TMP-3,TEMPE,America/Phoenix,2024-09-09,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2024-09-09T16:00:00Z
COL-4442,agent,T-TMP-3,TEMPE,America/Phoenix,2021-03-15,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2021-03-15T16:00:00Z
COL-5500,supervisor,T-TMP-2,TEMPE,America/Phoenix,2017-05-20,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2017-05-20T16:00:00Z
COL-5503,agent,T-TMP-2,TEMPE,America/Phoenix,2020-08-23,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2020-08-23T16:00:00Z
COL-5510,agent,T-TMP-2,TEMPE,America/Phoenix,2018-03-03,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2018-03-03T16:00:00Z
COL-5512,agent,T-TMP-2,TEMPE,America/Phoenix,2020-05-05,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2020-05-05T16:00:00Z
COL-5518,agent,T-TMP-2,TEMPE,America/Phoenix,2017-11-11,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2017-11-11T16:00:00Z
COL-5520,agent,T-TMP-2,TEMPE,America/Phoenix,2019-01-13,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2019-01-13T16:00:00Z
COL-5526,agent,T-TMP-2,TEMPE,America/Phoenix,2016-07-19,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2016-07-19T16:00:00Z
COL-5530,agent,T-TMP-2,TEMPE,America/Phoenix,2020-11-23,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2020-11-23T16:00:00Z
COL-5535,agent,T-TMP-2,TEMPE,America/Phoenix,2016-04-01,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2016-04-01T16:00:00Z
COL-5541,agent,T-TMP-2,TEMPE,America/Phoenix,2022-10-07,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2022-10-07T16:00:00Z
COL-5547,agent,T-TMP-2,TEMPE,America/Phoenix,2019-04-13,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2019-04-13T16:00:00Z
COL-6600,supervisor,T-SAT-2,SAN_ANTONIO,America/Chicago,2019-01-13,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2019-01-13T15:00:00Z
COL-6604,agent,T-SAT-2,SAN_ANTONIO,America/Chicago,2023-05-17,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2023-05-17T14:00:00Z
COL-6611,agent,T-SAT-2,SAN_ANTONIO,America/Chicago,2021-12-24,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2021-12-24T15:00:00Z
COL-6618,agent,T-SAT-2,SAN_ANTONIO,America/Chicago,2019-07-04,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2019-07-04T14:00:00Z
COL-6622,agent,T-SAT-2,SAN_ANTONIO,America/Chicago,2023-11-08,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2023-11-08T15:00:00Z
COL-6630,agent,T-SAT-2,SAN_ANTONIO,America/Chicago,2022-07-16,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2022-07-16T14:00:00Z
COL-6637,agent,T-SAT-2,SAN_ANTONIO,America/Chicago,2020-02-23,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2020-02-23T15:00:00Z
COL-6645,agent,T-SAT-2,SAN_ANTONIO,America/Chicago,2019-10-04,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2019-10-04T14:00:00Z
COL-6651,agent,T-SAT-2,SAN_ANTONIO,America/Chicago,2016-04-10,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2016-04-10T14:00:00Z
COL-6658,agent,T-SAT-2,SAN_ANTONIO,America/Chicago,2023-11-17,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2023-11-17T15:00:00Z
COL-7700,supervisor,T-SAT-1,SAN_ANTONIO,America/Chicago,2021-09-06,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2021-09-06T14:00:00Z
COL-7705,agent,T-SAT-1,SAN_ANTONIO,America/Chicago,2017-02-11,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2017-02-11T15:00:00Z
COL-7708,agent,T-SAT-1,SAN_ANTONIO,America/Chicago,2020-05-14,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2020-05-14T14:00:00Z
COL-7712,agent,T-SAT-1,SAN_ANTONIO,America/Chicago,2024-09-18,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2024-09-18T14:00:00Z
COL-7716,agent,T-SAT-1,SAN_ANTONIO,America/Chicago,2019-01-22,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2019-01-22T15:00:00Z
COL-7721,agent,T-SAT-1,SAN_ANTONIO,America/Chicago,2024-06-27,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2024-06-27T14:00:00Z
COL-7724,agent,T-SAT-1,SAN_ANTONIO,America/Chicago,2018-09-03,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2018-09-03T14:00:00Z
COL-7730,agent,T-SAT-1,SAN_ANTONIO,America/Chicago,2024-03-09,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2024-03-09T15:00:00Z
COL-7735,agent,T-SAT-1,SAN_ANTONIO,America/Chicago,2020-08-14,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2020-08-14T14:00:00Z
COL-7741,agent,T-SAT-1,SAN_ANTONIO,America/Chicago,2017-02-20,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2017-02-20T15:00:00Z
COL-7748,agent,T-SAT-1,SAN_ANTONIO,America/Chicago,2024-09-27,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2024-09-27T14:00:00Z
COL-8800,supervisor,T-SAT-3,SAN_ANTONIO,America/Chicago,2023-05-26,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2023-05-26T14:00:00Z
COL-8805,agent,T-SAT-3,SAN_ANTONIO,America/Chicago,2019-10-04,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2019-10-04T14:00:00Z
COL-8813,agent,T-SAT-3,SAN_ANTONIO,America/Chicago,2018-06-12,en|es,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2018-06-12T14:00:00Z
COL-8819,agent,T-SAT-3,SAN_ANTONIO,America/Chicago,2024-12-18,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2024-12-18T15:00:00Z
COL-8826,agent,T-SAT-3,SAN_ANTONIO,America/Chicago,2022-07-25,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2022-07-25T14:00:00Z
COL-8832,agent,T-SAT-3,SAN_ANTONIO,America/Chicago,2019-01-04,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2019-01-04T15:00:00Z
COL-8840,agent,T-SAT-3,SAN_ANTONIO,America/Chicago,2018-09-12,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2018-09-12T14:00:00Z
COL-8847,agent,T-SAT-3,SAN_ANTONIO,America/Chicago,2016-04-19,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2016-04-19T14:00:00Z
COL-8853,agent,T-SAT-3,SAN_ANTONIO,America/Chicago,2022-10-25,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2022-10-25T14:00:00Z
COL-8861,agent,T-SAT-3,SAN_ANTONIO,America/Chicago,2021-06-06,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2021-06-06T14:00:00Z
COL-8870,agent,T-SAT-3,SAN_ANTONIO,America/Chicago,2021-03-15,en,BT|CLI|FLEX|ADDON|PRODUCT_CHANGE|RETENTION,2021-03-15T14:00:00Z
