account_id,customer_id,product_code,opened_at,credit_limit,annual_fee,annual_fee_posting_month,statement_closing_day,status,purchase_apr,rewards_balance,rewards_unit,available_at
ACC-00019,CUS-00019,EVERYDAY_CASH,2021-03-20,8500,0.00,,25,open,24.49,183,cash_back,2021-03-20T14:00:00Z
ACC-00020,CUS-00020,VOYAGER,2022-12-09,19100,95.00,12,8,open,24.49,67647,miles,2022-12-09T15:00:00Z
ACC-00021,CUS-00021,VOYAGER,2011-08-01,19800,95.00,8,20,open,24.49,29441,miles,2011-08-01T14:00:00Z
ACC-00022,CUS-00022,EVERYDAY_CASH,2018-07-08,3800,0.00,,25,open,24.49,307,cash_back,2018-07-08T14:00:00Z
ACC-00023,CUS-00023,EVERYDAY_CASH,2026-01-29,2600,0.00,,17,open,24.49,578,cash_back,2026-01-29T15:00:00Z
ACC-00024,CUS-00024,EVERYDAY_CASH,2010-02-02,9500,0.00,,12,open,24.49,384,cash_back,2010-02-02T15:00:00Z
ACC-00025,CUS-00025,EVERYDAY_CASH,2026-08-12,6500,0.00,,25,open,24.49,49,cash_back,2026-08-12T14:00:00Z
ACC-00026,CUS-00026,EVERYDAY_CASH,2010-11-14,5800,0.00,,17,open,24.49,377,cash_back,2010-11-14T15:00:00Z
ACC-00027,CUS-00027,VOYAGER,2006-08-01,4800,95.00,8,8,open,24.49,51714,miles,2006-08-01T14:00:00Z
ACC-00028,CUS-00028,SUMMIT,2004-01-28,29200,450.00,1,12,open,25.99,22625,miles,2004-01-28T15:00:00Z
ACC-00029,CUS-00029,EVERYDAY_CASH,2017-05-04,9200,0.00,,8,open,24.49,442,cash_back,2017-05-04T14:00:00Z
ACC-00030,CUS-00030,EVERYDAY_CASH,2001-01-31,5600,0.00,,3,open,24.49,97,cash_back,2001-01-31T15:00:00Z
ACC-00031,CUS-00031,EVERYDAY_CASH,2025-12-24,11600,0.00,,12,open,24.49,146,cash_back,2025-12-24T15:00:00Z
ACC-00032,CUS-00032,EVERYDAY_CASH,2022-08-31,11200,0.00,,20,open,24.49,445,cash_back,2022-08-31T14:00:00Z
ACC-00033,CUS-00033,VOYAGER,2025-12-07,18200,95.00,12,12,open,24.49,41971,miles,2025-12-07T15:00:00Z
ACC-00034,CUS-00034,EVERYDAY_CASH,2008-03-16,10600,0.00,,8,open,24.49,479,cash_back,2008-03-16T14:00:00Z
ACC-00035,CUS-00035,EVERYDAY_CASH,2023-05-15,1700,0.00,,20,open,24.49,4,cash_back,2023-05-15T14:00:00Z
ACC-00036,CUS-00036,EVERYDAY_CASH,2026-08-23,2800,0.00,,25,open,24.49,4,cash_back,2026-08-23T14:00:00Z
ACC-00037,CUS-00037,EVERYDAY_CASH,2018-03-03,10400,0.00,,12,open,24.49,581,cash_back,2018-03-03T15:00:00Z
ACC-00038,CUS-00038,VOYAGER,2018-04-29,7900,95.00,4,3,open,24.49,76325,miles,2018-04-29T14:00:00Z
ACC-00039,CUS-00039,FOUNDATION,2014-09-10,500,0.00,,12,open,28.49,217,cash_back,2014-09-10T14:00:00Z
ACC-00040,CUS-00040,VOYAGER,2026-06-06,5700,95.00,6,20,open,24.49,71445,miles,2026-06-06T14:00:00Z
ACC-00041,CUS-00041,FOUNDATION,2019-11-08,400,0.00,,12,open,28.49,390,cash_back,2019-11-08T15:00:00Z
ACC-00042,CUS-00042,FOUNDATION,2020-07-08,400,0.00,,12,open,28.49,462,cash_back,2020-07-08T14:00:00Z
ACC-00043,CUS-00043,VOYAGER,2005-04-01,14300,95.00,4,3,open,24.49,77106,miles,2005-04-01T15:00:00Z
ACC-00044,CUS-00044,VOYAGER,2018-10-05,6800,95.00,10,12,open,24.49,13979,miles,2018-10-05T14:00:00Z
ACC-00045,CUS-00045,EVERYDAY_CASH,2011-07-09,6100,0.00,,8,open,24.49,543,cash_back,2011-07-09T14:00:00Z
ACC-00046,CUS-00046,EVERYDAY_CASH,2011-06-03,4700,0.00,,20,open,24.49,163,cash_back,2011-06-03T14:00:00Z
ACC-00047,CUS-00047,VOYAGER,2003-04-01,9100,95.00,4,8,open,24.49,75000,miles,2003-04-01T15:00:00Z
ACC-00048,CUS-00048,VOYAGER,1999-10-22,9400,95.00,10,12,open,24.49,18393,miles,1999-10-22T14:00:00Z
ACC-00049,CUS-00049,VOYAGER,2017-08-22,16400,95.00,8,3,open,24.49,36065,miles,2017-08-22T14:00:00Z
ACC-00050,CUS-00050,EVERYDAY_CASH,2026-03-13,10000,0.00,,3,open,24.49,214,cash_back,2026-03-13T14:00:00Z
ACC-00051,CUS-00051,EVERYDAY_CASH,2011-04-09,3700,0.00,,12,open,24.49,334,cash_back,2011-04-09T14:00:00Z
ACC-00052,CUS-00052,EVERYDAY_CASH,2000-06-20,5200,0.00,,17,open,24.49,237,cash_back,2000-06-20T14:00:00Z
ACC-00053,CUS-00053,VOYAGER,2005-03-17,11400,95.00,3,12,open,24.49,81449,miles,2005-03-17T15:00:00Z
ACC-00054,CUS-00054,FOUNDATION,2015-06-29,900,0.00,,20,open,28.49,365,cash_back,2015-06-29T14:00:00Z
ACC-00055,CUS-00055,EVERYDAY_CASH,2004-03-09,5000,0.00,,25,open,24.49,529,cash_back,2004-03-09T15:00:00Z
ACC-00056,CUS-00056,FOUNDATION,2020-04-04,1300,0.00,,17,open,28.49,426,cash_back,2020-04-04T14:00:00Z
ACC-00057,CUS-00057,FOUNDATION,2019-12-11,1200,0.00,,12,open,28.49,387,cash_back,2019-12-11T15:00:00Z
ACC-00058,CUS-00058,EVERYDAY_CASH,2003-01-15,3300,0.00,,17,open,24.49,264,cash_back,2003-01-15T15:00:00Z
ACC-00059,CUS-00059,VOYAGER,2010-03-03,18000,95.00,3,17,open,24.49,376,miles,2010-03-03T15:00:00Z
ACC-00060,CUS-00060,EVERYDAY_CASH,2012-05-12,10900,0.00,,25,open,24.49,127,cash_back,2012-05-12T14:00:00Z
ACC-00061,CUS-00061,FOUNDATION,2024-09-28,500,0.00,,25,open,28.49,223,cash_back,2024-09-28T14:00:00Z
ACC-00062,CUS-00062,VOYAGER,2000-11-04,16700,95.00,11,17,open,24.49,42236,miles,2000-11-04T15:00:00Z
ACC-00063,CUS-00063,EVERYDAY_CASH,2017-06-17,3200,0.00,,25,open,24.49,363,cash_back,2017-06-17T14:00:00Z
ACC-00064,CUS-00064,VOYAGER,2011-01-09,4300,95.00,1,8,open,24.49,32548,miles,2011-01-09T15:00:00Z
ACC-00065,CUS-00065,SUMMIT,2014-01-04,12300,450.00,1,3,open,25.99,85332,miles,2014-01-04T15:00:00Z
ACC-00066,CUS-00066,SUMMIT,2013-10-18,32900,450.00,10,12,open,25.99,28977,miles,2013-10-18T14:00:00Z
ACC-00067,CUS-00067,FOUNDATION,2008-05-06,400,0.00,,20,open,28.49,183,cash_back,2008-05-06T14:00:00Z
ACC-00068,CUS-00068,SUMMIT,2019-08-06,14500,450.00,8,8,open,25.99,54906,miles,2019-08-06T14:00:00Z
ACC-00069,CUS-00069,VOYAGER,2000-08-01,16000,95.00,8,25,open,24.49,32625,miles,2000-08-01T14:00:00Z
ACC-00070,CUS-00070,FOUNDATION,2019-05-01,300,0.00,,12,open,28.49,382,cash_back,2019-05-01T14:00:00Z
ACC-00071,CUS-00071,VOYAGER,2018-12-27,10400,95.00,12,12,open,24.49,74283,miles,2018-12-27T15:00:00Z
ACC-00072,CUS-00072,FOUNDATION,2005-01-29,700,0.00,,25,open,28.49,189,cash_back,2005-01-29T15:00:00Z
ACC-00073,CUS-00073,VOYAGER,2007-06-08,5100,95.00,6,20,open,24.49,39255,miles,2007-06-08T14:00:00Z
ACC-00074,CUS-00074,SUMMIT,2003-02-02,29400,450.00,2,20,open,25.99,65327,miles,2003-02-02T15:00:00Z
ACC-00075,CUS-00075,SUMMIT,2004-05-31,31300,450.00,5,25,open,25.99,57849,miles,2004-05-31T14:00:00Z
ACC-00076,CUS-00076,VOYAGER,2013-03-24,15400,95.00,3,17,open,24.49,32548,miles,2013-03-24T14:00:00Z
ACC-00077,CUS-00077,VOYAGER,2007-09-10,8100,95.00,9,17,open,24.49,52827,miles,2007-09-10T14:00:00Z
ACC-00078,CUS-00078,FOUNDATION,2025-12-19,400,0.00,,25,open,28.49,532,cash_back,2025-12-19T15:00:00Z
ACC-00079,CUS-00079,EVERYDAY_CASH,2026-04-18,1800,0.00,,8,open,24.49,595,cash_back,2026-04-18T14:00:00Z
ACC-00080,CUS-00080,VOYAGER,2013-10-23,7100,95.00,10,20,open,24.49,26680,miles,2013-10-23T14:00:00Z
ACC-00081,CUS-00081,EVERYDAY_CASH,2013-02-23,3800,0.00,,12,open,24.49,250,cash_back,2013-02-23T15:00:00Z
ACC-00082,CUS-00082,EVERYDAY_CASH,2000-01-18,11500,0.00,,20,open,24.49,550,cash_back,2000-01-18T15:00:00Z
ACC-00083,CUS-00083,EVERYDAY_CASH,2004-12-24,11100,0.00,,3,open,24.49,428,cash_back,2004-12-24T15:00:00Z
ACC-00084,CUS-00084,FOUNDATION,2008-07-03,500,0.00,,8,open,28.49,428,cash_back,2008-07-03T14:00:00Z
ACC-00085,CUS-00085,VOYAGER,2011-09-14,17600,95.00,9,20,open,24.49,6031,miles,2011-09-14T14:00:00Z
ACC-00086,CUS-00086,EVERYDAY_CASH,2006-07-09,4000,0.00,,3,open,24.49,197,cash_back,2006-07-09T14:00:00Z
ACC-00087,CUS-00087,VOYAGER,2009-03-19,11500,95.00,3,17,open,24.49,75198,miles,2009-03-19T14:00:00Z
ACC-00088,CUS-00088,VOYAGER,2013-10-06,14300,95.00,10,17,open,24.49,6538,miles,2013-10-06T14:00:00Z
ACC-00089,CUS-00089,FOUNDATION,2021-01-07,300,0.00,,17,open,28.49,296,cash_back,2021-01-07T15:00:00Z
ACC-00090,CUS-00090,EVERYDAY_CASH,2022-11-16,7400,0.00,,12,open,24.49,162,cash_back,2022-11-16T15:00:00Z
ACC-00091,CUS-00091,VOYAGER,1999-09-18,9900,95.00,9,20,open,24.49,30383,miles,1999-09-18T14:00:00Z
ACC-00092,CUS-00092,VOYAGER,2018-05-30,6000,95.00,5,17,open,24.49,40586,miles,2018-05-30T14:00:00Z
ACC-00093,CUS-00093,VOYAGER,2013-11-04,11700,95.00,11,3,open,24.49,18842,miles,2013-11-04T15:00:00Z
ACC-00094,CUS-00094,VOYAGER,2018-05-29,6300,95.00,5,12,open,24.49,81032,miles,2018-05-29T14:00:00Z
ACC-00095,CUS-00095,SUMMIT,2019-09-05,14700,450.00,9,25,open,25.99,79959,miles,2019-09-05T14:00:00Z
ACC-00096,CUS-00096,VOYAGER,2020-10-07,11900,95.00,10,3,open,24.49,63994,miles,2020-10-07T14:00:00Z
ACC-00097,CUS-00097,EVERYDAY_CASH,2013-01-28,4200,0.00,,20,open,24.49,376,cash_back,2013-01-28T15:00:00Z
ACC-00098,CUS-00098,EVERYDAY_CASH,2021-05-02,7400,0.00,,17,open,24.49,320,cash_back,2021-05-02T14:00:00Z
ACC-00099,CUS-00099,FOUNDATION,2007-11-21,1400,0.00,,17,open,28.49,347,cash_back,2007-11-21T15:00:00Z
ACC-00100,CUS-00100,FOUNDATION,2018-07-30,900,0.00,,20,open,28.49,224,cash_back,2018-07-30T14:00:00Z
ACC-00101,CUS-00101,FOUNDATION,2015-02-03,1000,0.00,,12,open,28.49,44,cash_back,2015-02-03T15:00:00Z
ACC-00102,CUS-00102,VOYAGER,2000-04-30,11500,95.00,4,20,open,24.49,950,miles,2000-04-30T14:00:00Z
ACC-00103,CUS-00103,EVERYDAY_CASH,2014-12-09,3000,0.00,,17,open,24.49,239,cash_back,2014-12-09T15:00:00Z
ACC-00104,CUS-00104,VOYAGER,2012-05-28,12100,95.00,5,20,open,24.49,54756,miles,2012-05-28T14:00:00Z
ACC-00105,CUS-00105,VOYAGER,2006-03-15,5300,95.00,3,8,open,24.49,81156,miles,2006-03-15T15:00:00Z
ACC-00106,CUS-00106,VOYAGER,2001-10-30,5400,95.00,10,20,open,24.49,27522,miles,2001-10-30T15:00:00Z
ACC-00107,CUS-00107,SUMMIT,2000-03-16,10900,450.00,3,25,open,25.99,28879,miles,2000-03-16T15:00:00Z
ACC-00108,CUS-00108,EVERYDAY_CASH,2015-05-13,4000,0.00,,17,open,24.49,547,cash_back,2015-05-13T14:00:00Z
ACC-00109,CUS-00109,EVERYDAY_CASH,2002-01-19,7000,0.00,,25,open,24.49,542,cash_back,2002-01-19T15:00:00Z
ACC-00110,CUS-00110,VOYAGER,2015-07-22,4500,95.00,7,12,open,24.49,10336,miles,2015-07-22T14:00:00Z
ACC-00111,CUS-00111,EVERYDAY_CASH,2023-10-11,7200,0.00,,25,open,24.49,21,cash_back,2023-10-11T14:00:00Z
ACC-00112,CUS-00112,EVERYDAY_CASH,2016-09-03,8900,0.00,,20,open,24.49,165,cash_back,2016-09-03T14:00:00Z
ACC-00113,CUS-00113,EVERYDAY_CASH,2003-07-22,2500,0.00,,17,open,24.49,272,cash_back,2003-07-22T14:00:00Z
ACC-00114,CUS-00114,EVERYDAY_CASH,2026-02-21,4500,0.00,,20,open,24.49,600,cash_back,2026-02-21T15:00:00Z
ACC-00115,CUS-00115,FOUNDATION,2020-05-03,400,0.00,,25,open,28.49,526,cash_back,2020-05-03T14:00:00Z
ACC-00116,CUS-00116,EVERYDAY_CASH,2011-07-21,6400,0.00,,8,open,24.49,289,cash_back,2011-07-21T14:00:00Z
ACC-00117,CUS-00117,FOUNDATION,2005-11-21,900,0.00,,20,open,28.49,299,cash_back,2005-11-21T15:00:00Z
ACC-00118,CUS-00118,FOUNDATION,2023-04-22,1200,0.00,,17,open,28.49,266,cash_back,2023-04-22T14:00:00Z
ACC-00119,CUS-00119,FOUNDATION,2001-05-10,1100,0.00,,25,open,28.49,462,cash_back,2001-05-10T14:00:00Z
ACC-00120,CUS-00120,EVERYDAY_CASH,2020-12-05,11400,0.00,,17,open,24.49,52,cash_back,2020-12-05T15:00:00Z
ACC-00121,CUS-00121,VOYAGER,2022-12-13,14600,95.00,12,17,open,24.49,3112,miles,2022-12-13T15:00:00Z
ACC-00122,CUS-00122,EVERYDAY_CASH,2008-01-26,5600,0.00,,12,open,24.49,99,cash_back,2008-01-26T15:00:00Z
ACC-00123,CUS-00123,EVERYDAY_CASH,2017-09-22,10600,0.00,,17,open,24.49,243,cash_back,2017-09-22T14:00:00Z
ACC-00124,CUS-00124,EVERYDAY_CASH,2023-03-20,9900,0.00,,17,open,24.49,186,cash_back,2023-03-20T14:00:00Z
ACC-00125,CUS-00125,EVERYDAY_CASH,2009-11-26,9500,0.00,,20,open,24.49,507,cash_back,2009-11-26T15:00:00Z
ACC-00126,CUS-00126,FOUNDATION,2005-02-21,1300,0.00,,3,open,28.49,505,cash_back,2005-02-21T15:00:00Z
ACC-00127,CUS-00127,EVERYDAY_CASH,2016-03-20,5600,0.00,,20,open,24.49,251,cash_back,2016-03-20T14:00:00Z
ACC-00128,CUS-00128,VOYAGER,2020-07-07,12700,95.00,7,8,open,24.49,14427,miles,2020-07-07T14:00:00Z
ACC-00129,CUS-00129,EVERYDAY_CASH,2016-06-05,6900,0.00,,3,open,24.49,205,cash_back,2016-06-05T14:00:00Z
ACC-00130,CUS-00130,EVERYDAY_CASH,2015-01-10,8200,0.00,,12,open,24.49,219,cash_back,2015-01-10T15:00:00Z
ACC-00131,CUS-00131,FOUNDATION,2017-03-02,900,0.00,,20,open,28.49,250,cash_back,2017-03-02T15:00:00Z
ACC-00132,CUS-00132,EVERYDAY_CASH,2026-01-13,10200,0.00,,17,open,24.49,594,cash_back,2026-01-13T15:00:00Z
ACC-00133,CUS-00133,SUMMIT,2002-02-27,33600,450.00,2,3,open,25.99,54294,miles,2002-02-27T15:00:00Z
ACC-00134,CUS-00134,EVERYDAY_CASH,2007-07-14,5500,0.00,,3,open,24.49,250,cash_back,2007-07-14T14:00:00Z
ACC-00135,CUS-00135,EVERYDAY_CASH,2022-06-25,8300,0.00,,12,open,24.49,535,cash_back,2022-06-25T14:00:00Z
ACC-00136,CUS-00136,FOUNDATION,2008-06-16,400,0.00,,8,open,28.49,463,cash_back,2008-06-16T14:00:00Z
ACC-00137,CUS-00137,EVERYDAY_CASH,2024-01-02,8300,0.00,,12,open,24.49,262,cash_back,2024-01-02T15:00:00Z
ACC-00138,CUS-00138,EVERYDAY_CASH,2024-06-20,7500,0.00,,25,open,24.49,571,cash_back,2024-06-20T14:00:00Z
ACC-00139,CUS-00139,VOYAGER,2003-09-16,5900,95.00,9,8,open,24.49,49683,miles,2003-09-16T14:00:00Z
ACC-00140,CUS-00140,EVERYDAY_CASH,2009-09-09,10500,0.00,,17,open,24.49,264,cash_back,2009-09-09T14:00:00Z
ACC-00141,CUS-00141,VOYAGER,2002-05-17,16400,95.00,5,17,open,24.49,40790,miles,2002-05-17T14:00:00Z
ACC-00142,CUS-00142,VOYAGER,2008-12-22,14700,95.00,12,25,open,24.49,28567,miles,2008-12-22T15:00:00Z
ACC-00143,CUS-00143,EVERYDAY_CASH,2014-03-02,5600,0.00,,8,open,24.49,275,cash_back,2014-03-02T15:00:00Z
ACC-00144,CUS-00144,VOYAGER,2019-03-25,17700,95.00,3,17,open,24.49,1730,miles,2019-03-25T14:00:00Z
ACC-00145,CUS-00145,SUMMIT,2016-11-15,28100,450.00,11,12,open,25.99,10398,miles,2016-11-15T15:00:00Z
ACC-00146,CUS-00146,EVERYDAY_CASH,2022-04-09,6500,0.00,,8,open,24.49,421,cash_back,2022-04-09T14:00:00Z
ACC-00147,CUS-00147,SUMMIT,2013-04-17,30200,450.00,4,20,open,25.99,14199,miles,2013-04-17T14:00:00Z
ACC-00148,CUS-00148,VOYAGER,2021-06-02,6100,95.00,6,25,open,24.49,30133,miles,2021-06-02T14:00:00Z
ACC-00149,CUS-00149,FOUNDATION,2018-11-29,1200,0.00,,25,open,28.49,558,cash_back,2018-11-29T15:00:00Z
ACC-00150,CUS-00150,EVERYDAY_CASH,2021-12-07,10100,0.00,,12,open,24.49,287,cash_back,2021-12-07T15:00:00Z
ACC-00151,CUS-00151,FOUNDATION,2009-01-27,600,0.00,,25,open,28.49,136,cash_back,2009-01-27T15:00:00Z
ACC-00152,CUS-00152,SUMMIT,2002-09-14,30600,450.00,9,3,open,25.99,82484,miles,2002-09-14T14:00:00Z
ACC-00153,CUS-00153,EVERYDAY_CASH,2023-03-27,7900,0.00,,3,open,24.49,390,cash_back,2023-03-27T14:00:00Z
ACC-00154,CUS-00154,FOUNDATION,2026-01-29,400,0.00,,12,open,28.49,544,cash_back,2026-01-29T15:00:00Z
ACC-00155,CUS-00155,FOUNDATION,2007-12-23,300,0.00,,3,open,28.49,254,cash_back,2007-12-23T15:00:00Z
ACC-00156,CUS-00156,EVERYDAY_CASH,2013-04-04,4600,0.00,,8,open,24.49,259,cash_back,2013-04-04T14:00:00Z
ACC-00157,CUS-00157,FOUNDATION,2018-12-22,500,0.00,,25,open,28.49,572,cash_back,2018-12-22T15:00:00Z
ACC-00158,CUS-00158,EVERYDAY_CASH,2016-01-22,9700,0.00,,12,open,24.49,594,cash_back,2016-01-22T15:00:00Z
ACC-00159,CUS-00159,EVERYDAY_CASH,2006-08-12,9400,0.00,,20,open,24.49,478,cash_back,2006-08-12T14:00:00Z
ACC-00160,CUS-00160,EVERYDAY_CASH,2009-04-24,6100,0.00,,8,open,24.49,70,cash_back,2009-04-24T14:00:00Z
ACC-00161,CUS-00161,EVERYDAY_CASH,2021-11-08,10100,0.00,,8,open,24.49,117,cash_back,2021-11-08T15:00:00Z
ACC-00162,CUS-00162,FOUNDATION,2023-11-06,1200,0.00,,8,open,28.49,393,cash_back,2023-11-06T15:00:00Z
ACC-00163,CUS-00163,EVERYDAY_CASH,2004-10-01,7300,0.00,,17,open,24.49,424,cash_back,2004-10-01T14:00:00Z
ACC-00164,CUS-00164,FOUNDATION,2006-03-06,700,0.00,,17,open,28.49,525,cash_back,2006-03-06T15:00:00Z
ACC-00165,CUS-00165,EVERYDAY_CASH,2005-01-04,5900,0.00,,17,open,24.49,49,cash_back,2005-01-04T15:00:00Z
ACC-00166,CUS-00166,SUMMIT,2026-02-02,32500,450.00,2,25,open,25.99,15005,miles,2026-02-02T15:00:00Z
ACC-00167,CUS-00167,FOUNDATION,2024-04-28,800,0.00,,3,open,28.49,125,cash_back,2024-04-28T14:00:00Z
ACC-00168,CUS-00168,VOYAGER,2011-04-01,17300,95.00,4,25,open,24.49,54072,miles,2011-04-01T14:00:00Z
ACC-00169,CUS-00169,FOUNDATION,2017-12-21,400,0.00,,12,open,28.49,17,cash_back,2017-12-21T15:00:00Z
ACC-00170,CUS-00170,EVERYDAY_CASH,2005-08-25,4200,0.00,,8,open,24.49,289,cash_back,2005-08-25T14:00:00Z
ACC-00171,CUS-00171,VOYAGER,2025-12-03,16400,95.00,12,3,open,24.49,78871,miles,2025-12-03T15:00:00Z
ACC-00172,CUS-00172,VOYAGER,2007-04-29,19300,95.00,4,12,open,24.49,853,miles,2007-04-29T14:00:00Z
ACC-00173,CUS-00173,EVERYDAY_CASH,2020-01-28,2500,0.00,,8,open,24.49,473,cash_back,2020-01-28T15:00:00Z
ACC-00174,CUS-00174,EVERYDAY_CASH,2019-07-17,8400,0.00,,25,open,24.49,221,cash_back,2019-07-17T14:00:00Z
ACC-00175,CUS-00175,EVERYDAY_CASH,2021-06-05,4100,0.00,,25,open,24.49,422,cash_back,2021-06-05T14:00:00Z
ACC-00176,CUS-00176,VOYAGER,2012-05-10,9900,95.00,5,20,open,24.49,3802,miles,2012-05-10T14:00:00Z
ACC-00177,CUS-00177,EVERYDAY_CASH,2026-05-18,4100,0.00,,25,open,24.49,557,cash_back,2026-05-18T14:00:00Z
ACC-00178,CUS-00178,EVERYDAY_CASH,2000-06-21,6800,0.00,,8,open,24.49,395,cash_back,2000-06-21T14:00:00Z
ACC-00179,CUS-00179,EVERYDAY_CASH,2011-01-29,5700,0.00,,17,open,24.49,577,cash_back,2011-01-29T15:00:00Z
ACC-00180,CUS-00180,VOYAGER,2001-03-04,7100,95.00,3,12,open,24.49,73781,miles,2001-03-04T15:00:00Z
ACC-00181,CUS-00181,VOYAGER,2026-07-11,10200,95.00,7,12,open,24.49,35263,miles,2026-07-11T14:00:00Z
ACC-00182,CUS-00182,EVERYDAY_CASH,2001-12-23,3100,0.00,,20,open,24.49,596,cash_back,2001-12-23T15:00:00Z
ACC-00183,CUS-00183,VOYAGER,2026-02-14,19300,95.00,2,12,open,24.49,11489,miles,2026-02-14T15:00:00Z
ACC-00184,CUS-00184,EVERYDAY_CASH,2003-12-26,11000,0.00,,12,open,24.49,204,cash_back,2003-12-26T15:00:00Z
ACC-00185,CUS-00185,EVERYDAY_CASH,2026-05-04,2400,0.00,,3,open,24.49,517,cash_back,2026-05-04T14:00:00Z
ACC-00186,CUS-00186,VOYAGER,2006-11-26,8700,95.00,11,8,open,24.49,51179,miles,2006-11-26T15:00:00Z
ACC-00187,CUS-00187,VOYAGER,2026-06-11,15000,95.00,6,3,open,24.49,13595,miles,2026-06-11T14:00:00Z
ACC-00188,CUS-00188,EVERYDAY_CASH,2008-06-02,11300,0.00,,8,open,24.49,4,cash_back,2008-06-02T14:00:00Z
ACC-00189,CUS-00189,SUMMIT,2026-04-24,10000,450.00,4,3,open,25.99,83796,miles,2026-04-24T14:00:00Z
ACC-00190,CUS-00190,EVERYDAY_CASH,2000-06-22,9000,0.00,,17,open,24.49,298,cash_back,2000-06-22T14:00:00Z
ACC-00191,CUS-00191,EVERYDAY_CASH,2011-07-12,7400,0.00,,8,open,24.49,323,cash_back,2011-07-12T14:00:00Z
ACC-00192,CUS-00192,VOYAGER,2003-05-13,10100,95.00,5,20,open,24.49,79761,miles,2003-05-13T14:00:00Z
ACC-00193,CUS-00193,VOYAGER,2011-07-27,10100,95.00,7,25,open,24.49,42435,miles,2011-07-27T14:00:00Z
ACC-00194,CUS-00194,FOUNDATION,2014-05-20,300,0.00,,8,open,28.49,452,cash_back,2014-05-20T14:00:00Z
ACC-00195,CUS-00195,EVERYDAY_CASH,2026-01-29,4500,0.00,,3,open,24.49,46,cash_back,2026-01-29T15:00:00Z
ACC-00196,CUS-00196,VOYAGER,2004-02-04,12800,95.00,2,8,open,24.49,23223,miles,2004-02-04T15:00:00Z
ACC-00197,CUS-00197,FOUNDATION,2009-12-06,1300,0.00,,25,open,28.49,245,cash_back,2009-12-06T15:00:00Z
ACC-00198,CUS-00198,SUMMIT,2026-03-21,15200,450.00,3,25,open,25.99,10562,miles,2026-03-21T14:00:00Z
ACC-00199,CUS-00199,VOYAGER,2026-02-04,18900,95.00,2,3,open,24.49,419,miles,2026-02-04T15:00:00Z
ACC-00200,CUS-00200,VOYAGER,2026-06-20,18100,95.00,6,3,open,24.49,55619,miles,2026-06-20T14:00:00Z
ACC-00201,CUS-00201,EVERYDAY_CASH,2007-08-02,3800,0.00,,8,open,24.49,328,cash_back,2007-08-02T14:00:00Z
ACC-00202,CUS-00202,EVERYDAY_CASH,2003-08-21,2600,0.00,,12,open,24.49,313,cash_back,2003-08-21T14:00:00Z
ACC-00203,CUS-00203,EVERYDAY_CASH,2008-07-18,4800,0.00,,12,open,24.49,314,cash_back,2008-07-18T14:00:00Z
